WTGID,Loc,MonthStartDate,f1,f2,f3,f4,f5,f6,target,Dataset
1,0,1/1/2023 0:00,18,957.789366,20.87454638,68.13481259,70.71777036,49.84322398,0,model
1,0,3/1/2023 0:00,14,660.384368,15.0924265,65.74290614,68.52833023,53.43590373,2,model
1,0,10/1/2023 0:00,21,1210.95,21.30270069,66.72867801,69.23288062,47.93017993,2,val
1,0,11/1/2023 0:00,11,663.835767,16.684462,53.4458513,57.01439493,40.32993294,0,val
1,0,12/1/2023 0:00,10,637.476813,14.8334306,52.73609437,56.38132571,41.54789511,0,val
1,0,1/1/2024 0:00,9,807.604542,12.31707326,50.72089402,54.28604908,41.96897582,0,val
1,0,2/1/2024 0:00,13,779.106856,15.44163294,53.28255407,56.96136622,41.51973328,0,val
2,0,3/1/2023 0:00,17,777.074521,21.77827203,62.69186994,66.17553257,44.39726054,0,model
2,0,12/1/2023 0:00,11,684.034758,14.45219724,61.31763739,63.23615034,48.7839531,0,val
3,0,3/1/2023 0:00,15,674.619574,17.73122819,50.97707159,52.65006935,34.91884116,0,model
3,0,10/1/2023 0:00,22,246.417434,23.52426276,57.10273308,58.35921295,34.83495019,0,val
3,0,11/1/2023 0:00,12,254.783235,16.78983656,51.93433137,53.59500421,36.80516765,0,val
3,0,12/1/2023 0:00,9,284.676785,15.12635633,50.89656277,52.76621672,37.63986039,0,val
3,0,1/1/2024 0:00,10,264.500703,13.51109986,49.49315182,51.45300422,37.94190436,0,val
3,0,2/1/2024 0:00,14,226.433394,16.27041697,51.89988366,53.77228413,37.50186716,0,val
4,0,1/1/2022 0:00,15,1211.71251,20.28188613,58.23995046,62.607915,42.32602887,2,model
4,0,12/1/2022 0:00,20,814.943037,21.55071519,47.16575077,49.75908101,28.20836582,0,model
4,0,1/1/2023 0:00,19,815.900214,20.7385132,45.98872409,48.5220464,27.78353319,0,model
4,0,2/1/2023 0:00,16,818.404145,19.0788456,45.19775222,47.75470052,28.67585492,0,model
4,0,3/1/2023 0:00,14,645.745111,15.89671556,46.39015815,48.96626556,33.06955,0,model
4,0,10/1/2023 0:00,22,248.133507,21.61886911,51.65696815,54.26365314,32.64478403,0,val
4,0,11/1/2023 0:00,12,266.457836,15.31022593,46.5862993,49.28019093,33.969965,0,val
4,0,12/1/2023 0:00,9,291.119627,13.36996701,45.52296578,48.27407699,34.90410998,0,val
4,0,1/1/2024 0:00,10,268.574548,12.2962538,44.04983852,46.7874953,34.4912415,0,val
5,0,10/1/2023 0:00,23,312.036346,23.88524105,53.84517012,56.67710169,32.79186064,0,val
